protein,drug
hsa:10161,DB00201
hsa:10800,DB00549
hsa:10800,DB01025
hsa:10800,DB00716
hsa:11255,DB00637
hsa:11255,DB01075
hsa:11255,DB00927
hsa:11255,DB01069
hsa:11255,DB00934
hsa:1128,DB00572
hsa:1128,DB00517
hsa:1128,DB00604
hsa:1128,DB00363
hsa:1128,DB00809
hsa:1128,DB00334
hsa:1128,DB01062
hsa:1128,DB01069
hsa:1128,DB00411
hsa:1128,DB01085
hsa:1128,DB00986
hsa:1128,DB01036
hsa:1128,DB00462
hsa:1128,DB01233
hsa:1128,DB00810
hsa:1128,DB00209
hsa:1128,DB00392
hsa:1128,D01269
hsa:1128,DBSALT001002
hsa:1128,DB00340
hsa:1128,DB00725
hsa:1128,DB00366
hsa:1128,DB00372
hsa:1128,DB00661
hsa:1128,DB00777
hsa:1128,DB01176
hsa:1128,DB01231
hsa:1129,DB00572
hsa:1129,DB00517
hsa:1129,DB00604
hsa:1129,DB00363
hsa:1129,DB00809
hsa:1129,DB00334
hsa:1129,DB01062
hsa:1129,DB01069
hsa:1129,DB00411
hsa:1129,DB00986
hsa:1129,DB01036
hsa:1129,DB01135
hsa:1129,DB00728
hsa:1129,DB00810
hsa:1129,DB00340
hsa:1129,DB00725
hsa:1129,DB00372
hsa:1129,DB00661
hsa:1129,DB00777
hsa:1129,DB01176
hsa:1129,DB01231
hsa:1131,DB00572
hsa:1131,DB00517
hsa:1131,DB00334
hsa:1131,DB01069
hsa:1131,DB00496
hsa:1131,DB00340
hsa:1131,DB00725
hsa:1131,DB00372
hsa:1131,DB00777
hsa:1131,DB01176
hsa:1131,D03654
hsa:1131,DB01231
hsa:1132,DB00572
hsa:1132,DB00809
hsa:1132,DB00334
hsa:1132,DB01069
hsa:1132,DB00340
hsa:1132,DB00725
hsa:1132,DB00372
hsa:1132,DB00777
hsa:1133,DB00572
hsa:1133,DB00334
hsa:1133,DB01069
hsa:1133,DB00340
hsa:1133,DB00725
hsa:1133,DB00372
hsa:1133,DB00777
hsa:1234,D03210
hsa:1241,DB00549
hsa:1268,DB00470
hsa:134,DB01223
hsa:134,DB00996
hsa:134,DB00201
hsa:134,D01712
hsa:134,D02884
hsa:135,DB01223
hsa:135,DB00201
hsa:135,D01712
hsa:135,D02884
hsa:136,DB00277
hsa:136,DB00201
hsa:136,DB00824
hsa:140,DB01223
hsa:140,DB00201
hsa:146,DB01136
hsa:146,DB00575
hsa:146,DB00363
hsa:146,DB00734
hsa:146,DB01115
hsa:146,DB00334
hsa:146,D00509
hsa:146,DB00960
hsa:146,D00604
hsa:146,DBSALT000889
hsa:146,DBSALT000329
hsa:146,DBSALT001484
hsa:146,D01020
hsa:146,DBSALT000821
hsa:146,DBSALT000978
hsa:146,D01051
hsa:146,D01358
hsa:146,DB00217
hsa:146,DB00751
hsa:146,DB06207
hsa:146,D02149
hsa:146,DBSALT000625
hsa:146,DB01170
hsa:146,DB00661
hsa:146,DB00777
hsa:147,DB01136
hsa:147,DB00575
hsa:147,DB00363
hsa:147,DB00734
hsa:147,DB01115
hsa:147,DB00334
hsa:147,D00509
hsa:147,DB00960
hsa:147,DBSALT000889
hsa:147,DBSALT000329
hsa:147,DBSALT001484
hsa:147,D01020
hsa:147,DBSALT000821
hsa:147,DBSALT000978
hsa:147,D01051
hsa:147,D01358
hsa:147,DB00217
hsa:147,DB00751
hsa:147,DB06207
hsa:147,D02149
hsa:147,DBSALT000625
hsa:147,DB01170
hsa:147,DB00661
hsa:147,DB00777
hsa:148,DB00668
hsa:148,DB01136
hsa:148,DB00575
hsa:148,DB00363
hsa:148,DB00734
hsa:148,DB01115
hsa:148,DB00334
hsa:148,DB01069
hsa:148,DB00850
hsa:148,D00509
hsa:148,DB00960
hsa:148,DBSALT000889
hsa:148,DBSALT000329
hsa:148,DB09389
hsa:148,DB00665
hsa:148,DBSALT001484
hsa:148,D01020
hsa:148,DBSALT000821
hsa:148,DBSALT000978
hsa:148,D01051
hsa:148,D01358
hsa:148,DB00217
hsa:148,DBSALT001063
hsa:148,DB00751
hsa:148,DB06207
hsa:148,D02149
hsa:148,DBSALT000625
hsa:148,DB01170
hsa:148,DB00661
hsa:148,DB00777
hsa:148,DB00934
hsa:148,DB01118
hsa:150,DB00502
hsa:150,DB01136
hsa:150,DB00477
hsa:150,DB00575
hsa:150,DB00363
hsa:150,DB00996
hsa:150,DB01115
hsa:150,DB00334
hsa:150,D00509
hsa:150,DB00960
