protein,drug
hsa:10008,DB01119
hsa:10008,DB00661
hsa:10060,DB00661
hsa:10369,DB00996
hsa:10369,DB01115
hsa:10369,DB00252
hsa:10369,DB01159
hsa:10369,DB01100
hsa:10369,DB00401
hsa:10369,DB01054
hsa:10369,DB00568
hsa:10369,DB00661
hsa:1080,DB01223
hsa:1080,DB01016
hsa:1080,D01453
hsa:1080,D01712
hsa:1080,D02409
hsa:11254,DB00172
hsa:11280,DB00907
hsa:1134,D00195
hsa:1134,D00611
hsa:1134,DB01233
hsa:1134,D02101
hsa:1134,D02173
hsa:1134,D02204
hsa:1134,D02207
hsa:1134,DB00318
hsa:1134,D03826
hsa:1134,D05156
hsa:1134,D05453
hsa:1135,D00195
hsa:1135,DB00312
hsa:1135,DB00411
hsa:1135,D00611
hsa:1135,DB01233
hsa:1135,DB00565
hsa:1135,DB01135
hsa:1135,DB00416
hsa:1135,DB00728
hsa:1135,DB00810
hsa:1135,D02101
hsa:1135,D02173
hsa:1135,D02204
hsa:1135,D02207
hsa:1135,DB00184
hsa:1135,DB00318
hsa:1135,DB00514
hsa:1135,D03826
hsa:1135,D05156
hsa:1135,D05453
hsa:1136,D00195
hsa:1136,DB00312
hsa:1136,DB00411
hsa:1136,D00611
hsa:1136,DB01233
hsa:1136,D02101
hsa:1136,D02173
hsa:1136,D02204
hsa:1136,D02207
hsa:1136,DB00184
hsa:1136,DB00318
hsa:1136,D03826
hsa:1136,D05156
hsa:1136,D05453
hsa:1137,D00195
hsa:1137,DB00312
hsa:1137,DB00411
hsa:1137,D00611
hsa:1137,DB01233
hsa:1137,D02101
hsa:1137,D02173
hsa:1137,D02204
hsa:1137,D02207
hsa:1137,DB00318
hsa:1137,D03826
hsa:1137,D05156
hsa:1137,D05453
hsa:1138,D00195
hsa:1138,D00611
hsa:1138,D02101
hsa:1138,D02173
hsa:1138,D02204
hsa:1138,D02207
hsa:1138,DB00318
hsa:1138,D03826
hsa:1138,D05156
hsa:1138,D05453
hsa:1139,D00195
hsa:1139,D00611
hsa:1139,DB01233
hsa:1139,D02101
hsa:1139,D02173
hsa:1139,D02204
hsa:1139,D02207
hsa:1139,DB00318
hsa:1139,D03826
hsa:1139,D05156
hsa:1139,D05453
hsa:1140,DB01233
hsa:1141,DB00312
hsa:1141,DB00411
hsa:1141,DB00357
hsa:1141,DB01233
hsa:1141,DB01217
hsa:1141,DB00990
hsa:1141,DB01006
hsa:1141,DB00184
hsa:1144,DB01233
hsa:1145,DB00312
hsa:1145,DB00411
hsa:1145,DB01233
hsa:1145,DB00184
hsa:116443,DB00996
hsa:116443,DB00949
hsa:116443,DBSALT000396
hsa:116443,DB00740
hsa:116443,DB00392
hsa:116443,DB00514
hsa:116443,D03878
hsa:116444,DB00502
hsa:116444,DBSALT000396
hsa:116444,D03878
hsa:1181,DB01046
hsa:169522,DB01119
hsa:169522,DB00661
hsa:170572,D00633
hsa:170572,D00677
hsa:170572,D00678
hsa:170572,D02041
hsa:200909,D00633
hsa:200909,D00677
hsa:200909,D00678
hsa:200909,D02041
hsa:22953,DB00201
hsa:23630,DB01119
hsa:23630,DB00661
hsa:23704,DB01119
hsa:23704,DB00661
hsa:2554,DB00404
hsa:2554,DB00829
hsa:2554,DB00690
hsa:2554,DB00695
hsa:2554,DB00801
hsa:2554,DB00842
hsa:2554,DB00794
hsa:2554,DB00312
hsa:2554,DB00962
hsa:2554,DB00273
hsa:2554,DB01159
hsa:2554,DB00228
hsa:2554,DB01028
hsa:2554,DB00753
hsa:2554,DB01189
hsa:2554,DB01236
hsa:2554,DB00292
hsa:2554,DB00818
hsa:2554,DB00683
hsa:2554,DB00628
hsa:2554,DB01205
hsa:2554,DB00189
hsa:2554,DBSALT000396
hsa:2554,DB01355
hsa:2554,DB00349
hsa:2554,D02207
hsa:2554,D02253
hsa:2554,D02461
hsa:2554,DB00237
hsa:2554,DB00474
hsa:2554,D05461
hsa:2554,DB01154
hsa:2555,DB00404
hsa:2555,DB00829
hsa:2555,DB00690
hsa:2555,DB00695
hsa:2555,DB00312
hsa:2555,DB00962
hsa:2555,DB00753
hsa:2555,DB01236
hsa:2555,DB00292
hsa:2555,DB00818
hsa:2555,DB00683
hsa:2555,DBSALT000396
hsa:2555,D02207
hsa:2555,D02253
hsa:2555,D02461
hsa:2555,D05461
hsa:2556,DB00404
hsa:2556,DB00829
hsa:2556,DB00690
hsa:2556,DB00695
hsa:2556,DB00312
hsa:2556,DB00962
hsa:2556,DB00753
hsa:2556,DB01236
hsa:2556,DB00292
hsa:2556,DB00818
hsa:2556,DB00683
hsa:2556,DBSALT000396
hsa:2556,D02207
hsa:2556,D02253
hsa:2556,D02461
hsa:2556,D05461
hsa:2557,DB00404
hsa:2557,DB00829
hsa:2557,DB00690
hsa:2557,DB00695
hsa:2557,DB00312
hsa:2557,DB00962
hsa:2557,DB00753
hsa:2557,DB01236
hsa:2557,DB00292
hsa:2557,DB00818
hsa:2557,DB00683
hsa:2557,DBSALT000396
hsa:2557,D02207
hsa:2557,D02253
hsa:2557,D02461
hsa:2557,D05461
hsa:2558,DB00404
hsa:2558,DB00829
hsa:2558,DB00690
hsa:2558,DB00695
hsa:2558,DB00312
hsa:2558,DB00962
hsa:2558,DB00753
hsa:2558,DB01236
hsa:2558,DB00292
hsa:2558,DB00818
hsa:2558,DB00683
hsa:2558,DBSALT000396
hsa:2558,D02207
hsa:2558,D02253
hsa:2558,D02461
hsa:2558,D05461
hsa:2559,DB00404
hsa:2559,DB00829
hsa:2559,DB00690
hsa:2559,DB00695
hsa:2559,DB00312
hsa:2559,DB00962
hsa:2559,DB00753
hsa:2559,DB01236
hsa:2559,DB00292
hsa:2559,DB00818
hsa:2559,DB00683
hsa:2559,DBSALT000396
hsa:2559,D02207
hsa:2559,D02253
hsa:2559,D02461
hsa:2559,D05461
hsa:2560,DB00404
hsa:2560,DB00829
hsa:2560,DB00690
hsa:2560,DB00312
hsa:2560,DB00962
hsa:2560,DB00753
hsa:2560,DB01236
hsa:2560,DB00292
hsa:2560,DB00818
hsa:2560,DB00683
