protein,drug
hsa:10,D00002
hsa:10,DB00795
hsa:100,DB04272
hsa:100,DB00552
hsa:10056,DB00120
hsa:1017,DBSALT000800
hsa:1018,DBSALT000800
hsa:10188,DB00619
hsa:1019,DBSALT000800
hsa:1020,DBSALT000800
hsa:1021,DBSALT000800
hsa:1022,DBSALT000800
hsa:1024,DBSALT000800
hsa:1025,DBSALT000800
hsa:10269,DB00636
hsa:10279,DB00677
hsa:10279,DB00513
hsa:10295,DB00161
hsa:10295,DB00167
hsa:10327,DB00502
hsa:10327,DB02383
hsa:1033,DB00864
hsa:1033,DB00091
hsa:10461,DB00619
hsa:10461,DB00317
hsa:10461,DB06626
hsa:10461,DB06616
hsa:10461,D03350
hsa:10461,DBSALT000064
hsa:10461,DB01259
hsa:10461,DB12682
hsa:10549,DB00316
hsa:10549,DB00255
hsa:10549,DB00746
hsa:1056,DB01101
hsa:1056,DB01083
hsa:10667,DB00120
hsa:107,D00002
hsa:107,DB00640
hsa:107,DB00131
hsa:10720,DBSALT000426
hsa:10747,DB00677
hsa:10747,DB00513
hsa:108,D00002
hsa:10825,DB00198
hsa:10825,DB00558
hsa:10825,D03829
hsa:10846,DB01223
hsa:10846,DB01427
hsa:10846,DB00277
hsa:10846,DB00235
hsa:10846,DB00806
hsa:10846,DB00201
hsa:10846,DB00651
hsa:10846,DB11450
hsa:10846,D01198
hsa:10846,DB12082
hsa:10846,DB03849
hsa:10846,D01712
hsa:10846,DB00820
hsa:10846,DB01303
hsa:10846,D02042
hsa:10846,DBSALT000347
hsa:10846,D02655
hsa:10846,D02731
hsa:10846,DB06237
hsa:10846,D03260
hsa:10858,DB00553
hsa:10858,DB00404
hsa:10858,DB01124
hsa:10858,DB00726
hsa:10858,DB01011
hsa:10858,DB01115
hsa:10858,DB00201
hsa:10858,DB01159
hsa:10858,DB00357
hsa:10858,DB01355
hsa:10858,DB00746
hsa:109,D00002
hsa:10901,DB00170
hsa:10924,DB00235
hsa:10924,DB00806
hsa:10924,DB00201
hsa:10935,DB00316
hsa:10935,DB00255
hsa:10935,DB00746
hsa:10941,DBSALT000426
hsa:11072,DB00864
hsa:11072,DB00091
hsa:111,D00002
hsa:112,D00002
hsa:11202,DB00677
hsa:11202,DB00513
hsa:11221,DB00864
hsa:11221,DB00091
hsa:11238,DB00819
hsa:11238,DB00999
hsa:11238,DB01144
hsa:11238,DB00880
hsa:11238,DB00909
hsa:11238,DB01194
hsa:11238,DBSALT000931
hsa:11238,DB00703
hsa:11238,DBSALT000539
hsa:11238,D03845
hsa:11266,DB00864
hsa:11266,DB00091
hsa:113,D00002
hsa:11330,DB00513
hsa:11330,DB00522
hsa:11343,DB01101
hsa:114,D00002
hsa:1147,DB00795
hsa:115,D00002
hsa:116447,DBSALT001805
hsa:116447,D01432
hsa:116447,D01911
hsa:116447,D02168
hsa:116447,DB11617
hsa:116447,DB06159
hsa:1178,DB01101
hsa:1200,DB00677
hsa:1215,DB00677
hsa:1215,DB00513
hsa:124,D00002
hsa:125,D00002
hsa:126,D00002
hsa:1267,DB00235
hsa:1267,DB00806
hsa:1267,DB00201
hsa:128,D00002
hsa:128853,DB00864
hsa:128853,DB00091
hsa:129807,DB00198
hsa:129807,DB00558
hsa:129807,D03829
hsa:13,DB01101
hsa:13,DB00661
hsa:130399,DB00619
hsa:131,D00002
hsa:1312,DB00494
hsa:1312,DB00323
hsa:132,DB00811
hsa:132,DB00131
hsa:132160,DB00864
hsa:132160,DB00091
hsa:133121,DB00235
hsa:133121,DB00806
