head,relation,tail
DB00158,hasIndication,C0002871
DB00178,hasIndication,C0018802
DB00178,hasIndication,C0020538
DB00198,hasIndication,C0205246
DB00227,hasIndication,C0020443
DB00235,hasIndication,C0018802
DB00252,hasIndication,C0003811
DB00255,hasIndication,C0376358
DB00273,hasIndication,C1262477
DB00276,hasIndication,C0023449
DB00277,hasIndication,C0024117
DB00299,hasIndication,C0024117
DB00316,hasIndication,C0030193
DB00316,hasIndication,C0024117
DB00322,hasIndication,C0009402
DB00328,hasIndication,C0013604
DB00334,hasIndication,C0005586
DB00334,hasIndication,C0036341
DB00342,hasIndication,C0003811
DB00356,hasIndication,C0023895
DB00356,hasIndication,C0030193
DB00356,hasIndication,C0205246
DB00357,hasIndication,C0278488
DB00363,hasIndication,C0036341
DB00390,hasIndication,C0205246
DB00390,hasIndication,C0018802
DB00392,hasIndication,C0686347
DB00404,hasIndication,C0003469
DB00436,hasIndication,C0018802
DB00436,hasIndication,C0020538
DB00444,hasIndication,C0023449
DB00469,hasIndication,C0003873
DB00469,hasIndication,C0030193
DB00477,hasIndication,C0003469
DB00477,hasIndication,C0005586
DB00482,hasIndication,C0003873
DB00482,hasIndication,C0030193
DB00500,hasIndication,C0003873
DB00502,hasIndication,C0236663
DB00502,hasIndication,C0005586
DB00502,hasIndication,C0036341
DB00519,hasIndication,C0020538
DB00533,hasIndication,C0030193
DB00562,hasIndication,C0020538
DB00563,hasIndication,C0003873
DB00563,hasIndication,C0006142
DB00564,hasIndication,C0014544
DB00564,hasIndication,C0005586
DB00564,hasIndication,C0036341
DB00573,hasIndication,C0003873
DB00580,hasIndication,C0003873
DB00580,hasIndication,C0030193
DB00627,hasIndication,C0020443
DB00636,hasIndication,C0020443
DB00637,hasIndication,C0003811
DB00641,hasIndication,C1262477
DB00661,hasIndication,C0003811
DB00665,hasIndication,C0376358
DB00683,hasIndication,C0037317
DB00703,hasIndication,C0027627
DB00712,hasIndication,C0003873
DB00722,hasIndication,C0018802
DB00722,hasIndication,C0020538
DB00755,hasIndication,C0023418
DB00776,hasIndication,C0005586
DB00790,hasIndication,C0018802
DB00790,hasIndication,C0020538
DB00795,hasIndication,C0003873
DB00806,hasIndication,C0030193
DB00812,hasIndication,C0030193
DB00814,hasIndication,C0030193
DB00818,hasIndication,C0205246
DB00819,hasIndication,C0014544
DB00820,hasIndication,C0020538
DB00820,hasIndication,C0242350
DB00829,hasIndication,C0037317
DB00829,hasIndication,C0236663
DB00843,hasIndication,C0037317
DB00880,hasIndication,C0013604
DB00880,hasIndication,C0018802
DB00881,hasIndication,C0018802
DB00881,hasIndication,C0020538
DB00883,hasIndication,C0018802
DB00894,hasIndication,C0006142
DB00909,hasIndication,C0205246
DB00933,hasIndication,C0686347
DB00945,hasIndication,C0030193
DB00945,hasIndication,C0009402
DB00949,hasIndication,C0023895
DB00949,hasIndication,C0205246
DB00949,hasIndication,C0002871
DB00987,hasIndication,C0023467
DB00990,hasIndication,C0006142
DB00991,hasIndication,C0003873
DB00991,hasIndication,C0030193
DB00996,hasIndication,C0030193
DB00996,hasIndication,C0014544
DB00997,hasIndication,C0023418
DB00999,hasIndication,C0013604
DB00999,hasIndication,C0020538
DB01006,hasIndication,C0006142
DB01021,hasIndication,C0013604
DB01021,hasIndication,C0205246
DB01021,hasIndication,C0018802
DB01050,hasIndication,C0003873
DB01050,hasIndication,C0030193
DB01073,hasIndication,C0023418
DB01078,hasIndication,C0018802
DB01078,hasIndication,C0003811
DB01097,hasIndication,C0003873
DB01100,hasIndication,C0686347
DB01108,hasIndication,C0006142
DB01115,hasIndication,C0020538
DB01159,hasIndication,C0205246
DB01171,hasIndication,C0011570
DB01189,hasIndication,C0205246
DB01197,hasIndication,C0018802
DB01197,hasIndication,C0020538
DB01217,hasIndication,C0006142
DB01217,hasIndication,C0027627
DB01236,hasIndication,C0205246
DB01238,hasIndication,C0205246
DB01238,hasIndication,C0005586
DB01238,hasIndication,C0036341
DB01259,hasIndication,C0278488
DB01283,hasIndication,C0023895
DB01355,hasIndication,C0205246
DB01397,hasIndication,C0030193
DB01397,hasIndication,C0205246
DB01427,hasIndication,C0018802
DB01600,hasIndication,C0023895
DB02383,hasIndication,C0023895
DB02701,hasIndication,C0023895
DB03793,hasIndication,C0027627
DB03849,hasIndication,C0024117
DB04960,hasIndication,C0023467
DB04960,hasIndication,C0006142
DB06237,hasIndication,C0242350
DB06626,hasIndication,C0006142
DB06737,hasIndication,C0003873
DB06737,hasIndication,C0030193
DB08797,hasIndication,C0030193
DB09026,hasIndication,C0020538
DB12082,hasIndication,C0018802
DB13783,hasIndication,C0003873
DB13876,hasIndication,C0003469
DB13876,hasIndication,C0011570
DB14125,hasIndication,C0023895
DB14125,hasIndication,C0018802
