head,relation,tail
DB00177,hasIndication,C0018802
DB00177,hasIndication,C0020538
DB00181,hasIndication,C0030193
DB00264,hasIndication,C0030193
DB00264,hasIndication,C0020538
DB00277,hasIndication,C0024117
DB00334,hasIndication,C0005586
DB00334,hasIndication,C0036341
DB00342,hasIndication,C0003811
DB00363,hasIndication,C0036341
DB00366,hasIndication,C0024117
DB00392,hasIndication,C0686347
DB00404,hasIndication,C0003469
DB00421,hasIndication,C0018802
DB00421,hasIndication,C0020538
DB00427,hasIndication,C0205246
DB00427,hasIndication,C0024117
DB00462,hasIndication,C0030920
DB00470,hasIndication,C0030193
DB00477,hasIndication,C0003469
DB00477,hasIndication,C1263846
DB00477,hasIndication,C0005586
DB00501,hasIndication,C0030920
DB00502,hasIndication,C0005586
DB00502,hasIndication,C0036341
DB00517,hasIndication,C0030920
DB00559,hasIndication,C0020538
DB00575,hasIndication,C0030193
DB00575,hasIndication,C0003469
DB00575,hasIndication,C0020538
DB00575,hasIndication,C1263846
DB00585,hasIndication,C0030920
DB00629,hasIndication,C0020538
DB00633,hasIndication,C0030193
DB00633,hasIndication,C0003469
DB00637,hasIndication,C0003811
DB00654,hasIndication,C0020538
DB00661,hasIndication,C0003811
DB00704,hasIndication,C0524662
DB00716,hasIndication,C0013404
DB00734,hasIndication,C0005586
DB00777,hasIndication,C0003469
DB00841,hasIndication,C0018802
DB00863,hasIndication,C0030920
DB00876,hasIndication,C0020538
DB00907,hasIndication,C0020538
DB00927,hasIndication,C0030920
DB00933,hasIndication,C0686347
DB00938,hasIndication,C0024117
DB00938,hasIndication,C0013404
DB00996,hasIndication,C0030193
DB01001,hasIndication,C0024117
DB01088,hasIndication,C0020538
DB01100,hasIndication,C0686347
DB01115,hasIndication,C0020538
DB01118,hasIndication,C0003811
DB01136,hasIndication,C0018802
DB01136,hasIndication,C0020538
DB01158,hasIndication,C0020538
DB01159,hasIndication,C0205246
DB01176,hasIndication,C0205246
DB01193,hasIndication,C0020538
DB01203,hasIndication,C0020538
DB01227,hasIndication,C0524662
DB01238,hasIndication,C0205246
DB01238,hasIndication,C0041696
DB01238,hasIndication,C0005586
DB01238,hasIndication,C0036341
DB01355,hasIndication,C0205246
DB06594,hasIndication,C0041696
