head,relation,tail
DB00237,hasIndication,C0003469
DB00252,hasIndication,C0003811
DB00270,hasIndication,C0020538
DB00292,hasIndication,C0205246
DB00318,hasIndication,C0010200
DB00342,hasIndication,C0003811
DB00347,hasIndication,C0014544
DB00356,hasIndication,C0023895
DB00356,hasIndication,C0030193
DB00356,hasIndication,C0205246
DB00363,hasIndication,C0036341
DB00392,hasIndication,C0686347
DB00393,hasIndication,C0020538
DB00404,hasIndication,C0031572
DB00404,hasIndication,C0030319
DB00404,hasIndication,C0003469
DB00404,hasIndication,C0270549
DB00436,hasIndication,C0018802
DB00436,hasIndication,C0020538
DB00472,hasIndication,C0041696
DB00472,hasIndication,C0030319
DB00502,hasIndication,C0236663
DB00502,hasIndication,C0005586
DB00502,hasIndication,C0036341
DB00514,hasIndication,C0030193
DB00514,hasIndication,C0010200
DB00543,hasIndication,C0027627
DB00555,hasIndication,C0027627
DB00555,hasIndication,C0014544
DB00555,hasIndication,C0005586
DB00562,hasIndication,C0020538
DB00564,hasIndication,C0014544
DB00564,hasIndication,C0005586
DB00564,hasIndication,C0036341
DB00637,hasIndication,C0003811
DB00653,hasIndication,C0205246
DB00661,hasIndication,C0003811
DB00679,hasIndication,C0003811
DB00679,hasIndication,C0036341
DB00683,hasIndication,C0037317
DB00695,hasIndication,C0023895
DB00695,hasIndication,C0018802
DB00695,hasIndication,C0020538
DB00715,hasIndication,C0031572
DB00715,hasIndication,C0041696
DB00715,hasIndication,C0030319
DB00715,hasIndication,C0028768
DB00715,hasIndication,C0270549
DB00776,hasIndication,C0005586
DB00794,hasIndication,C0205246
DB00808,hasIndication,C0018802
DB00818,hasIndication,C0205246
DB00829,hasIndication,C0037317
DB00829,hasIndication,C0236663
DB00842,hasIndication,C0003469
DB00842,hasIndication,C0236663
DB00880,hasIndication,C0013604
DB00880,hasIndication,C0018802
DB00907,hasIndication,C0020538
DB00909,hasIndication,C0205246
DB00949,hasIndication,C0023895
DB00949,hasIndication,C0205246
DB00990,hasIndication,C0006142
DB00996,hasIndication,C0030193
DB00996,hasIndication,C0014544
DB00999,hasIndication,C0013604
DB00999,hasIndication,C0020538
DB01006,hasIndication,C0006142
DB01021,hasIndication,C0013604
DB01021,hasIndication,C0205246
DB01021,hasIndication,C0018802
DB01023,hasIndication,C0020538
DB01054,hasIndication,C0020538
DB01086,hasIndication,C0030193
DB01086,hasIndication,C0010200
DB01100,hasIndication,C0686347
DB01104,hasIndication,C0031572
DB01104,hasIndication,C0041696
DB01104,hasIndication,C0030319
DB01104,hasIndication,C0028768
DB01115,hasIndication,C0020538
DB01159,hasIndication,C0205246
DB01189,hasIndication,C0205246
DB01217,hasIndication,C0006142
DB01217,hasIndication,C0027627
DB01219,hasIndication,C0205246
DB01236,hasIndication,C0205246
DB01355,hasIndication,C0205246
