head,relation,tail
DB00178,hasSideEffect,C0011603
DB00178,hasSideEffect,C0015230
DB00178,hasSideEffect,C0036974
DB00178,hasSideEffect,C0002962
DB00178,hasSideEffect,C0008031
DB00178,hasSideEffect,C0018681
DB00178,hasSideEffect,C0020649
DB00178,hasSideEffect,C0027497
DB00178,hasSideEffect,C0042963
DB00178,hasSideEffect,C0004093
DB00178,hasSideEffect,C0011991
DB00178,hasSideEffect,C0012833
DB00178,hasSideEffect,C0013404
DB00178,hasSideEffect,C0013604
DB00178,hasSideEffect,C0042571
DB00178,hasSideEffect,C0085649
DB00178,hasSideEffect,C0242350
DB00178,hasSideEffect,C2830004
DB00178,hasSideEffect,C0010200
DB00178,hasSideEffect,C0018801
DB00178,hasSideEffect,C0038454
DB00178,hasSideEffect,C0574067
DB00178,hasSideEffect,C0027051
DB00178,hasSideEffect,C0948089
DB00178,hasSideEffect,C0003864
DB00178,hasSideEffect,C0002994
DB00178,hasSideEffect,C0020651
DB00178,hasSideEffect,C0039070
DB00178,hasSideEffect,C0041657
DB00178,hasSideEffect,C1565489
DB00178,hasSideEffect,C0149725
DB00178,hasSideEffect,C0151746
DB00180,hasSideEffect,C0011603
DB00180,hasSideEffect,C0014591
DB00180,hasSideEffect,C0015230
DB00180,hasSideEffect,C0015967
DB00180,hasSideEffect,C0020517
DB00180,hasSideEffect,C0004604
DB00180,hasSideEffect,C0013395
DB00180,hasSideEffect,C0018681
DB00180,hasSideEffect,C0030193
DB00180,hasSideEffect,C0042963
DB00180,hasSideEffect,C0035455
DB00180,hasSideEffect,C0042029
DB00180,hasSideEffect,C0009450
DB00180,hasSideEffect,C0010200
DB00180,hasSideEffect,C0031350
DB00180,hasSideEffect,C0037199
DB00180,hasSideEffect,C0574067
DB00180,hasSideEffect,C0151736
DB00180,hasSideEffect,C3263723
DB00184,hasSideEffect,C0011603
DB00184,hasSideEffect,C0015230
DB00184,hasSideEffect,C0000737
DB00184,hasSideEffect,C0004604
DB00184,hasSideEffect,C0013395
DB00184,hasSideEffect,C0018681
DB00184,hasSideEffect,C0027497
DB00184,hasSideEffect,C0030193
DB00184,hasSideEffect,C0687713
DB00184,hasSideEffect,C0917801
DB00184,hasSideEffect,C0003862
DB00184,hasSideEffect,C0011991
DB00184,hasSideEffect,C0012833
DB00184,hasSideEffect,C0013404
DB00184,hasSideEffect,C0013604
DB00184,hasSideEffect,C0030554
DB00184,hasSideEffect,C0033774
DB00184,hasSideEffect,C0042571
DB00184,hasSideEffect,C0231528
DB00184,hasSideEffect,C0702166
DB00184,hasSideEffect,C0948594
DB00184,hasSideEffect,C0013390
DB00184,hasSideEffect,C0016204
DB00184,hasSideEffect,C0151505
DB00184,hasSideEffect,C1443060
DB00184,hasSideEffect,C0025345
DB00184,hasSideEffect,C0149745
DB00184,hasSideEffect,C0392171
DB00184,hasSideEffect,C0521839
DB00184,hasSideEffect,C0018834
DB00184,hasSideEffect,C0009676
DB00184,hasSideEffect,C0013378
DB00184,hasSideEffect,C0030252
DB00184,hasSideEffect,C0038362
DB00184,hasSideEffect,C0040435
DB00184,hasSideEffect,C2242996
DB00184,hasSideEffect,C0040409
DB00196,hasSideEffect,C0011603
DB00196,hasSideEffect,C0015230
DB00196,hasSideEffect,C0015967
DB00196,hasSideEffect,C0000737
DB00196,hasSideEffect,C0004604
DB00196,hasSideEffect,C0013395
DB00196,hasSideEffect,C0018681
DB00196,hasSideEffect,C0027497
DB00196,hasSideEffect,C0027769
DB00196,hasSideEffect,C0030193
DB00196,hasSideEffect,C0042963
DB00196,hasSideEffect,C0233494
DB00196,hasSideEffect,C0687713
DB00196,hasSideEffect,C0917801
DB00196,hasSideEffect,C0003123
DB00196,hasSideEffect,C0004093
DB00196,hasSideEffect,C0011991
DB00196,hasSideEffect,C0012833
DB00196,hasSideEffect,C0231528
DB00196,hasSideEffect,C0232462
DB00196,hasSideEffect,C0948594
DB00196,hasSideEffect,C0015672
DB00196,hasSideEffect,C0019348
DB00196,hasSideEffect,C0031350
DB00196,hasSideEffect,C0085593
DB00196,hasSideEffect,C0231218
DB00196,hasSideEffect,C0234215
DB00196,hasSideEffect,C1443060
DB00196,hasSideEffect,C2047937
DB00196,hasSideEffect,C0039971
DB00196,hasSideEffect,C0424790
DB00196,hasSideEffect,C0011053
DB00196,hasSideEffect,C0013378
DB00196,hasSideEffect,C0032617
DB00196,hasSideEffect,C0878544
DB00196,hasSideEffect,C1167965
DB00196,hasSideEffect,C0242184
DB00196,hasSideEffect,C0558489
DB00196,hasSideEffect,C0851353
DB00196,hasSideEffect,C0022346
DB00196,hasSideEffect,C0151763
DB00196,hasSideEffect,C0160390
DB00198,hasSideEffect,C0011603
DB00198,hasSideEffect,C0014591
DB00198,hasSideEffect,C0032285
DB00198,hasSideEffect,C0000737
DB00198,hasSideEffect,C0018681
DB00198,hasSideEffect,C0027497
DB00198,hasSideEffect,C0042963
DB00198,hasSideEffect,C0687713
DB00198,hasSideEffect,C0011991
DB00198,hasSideEffect,C0012833
DB00198,hasSideEffect,C0006277
DB00198,hasSideEffect,C0037199
DB00198,hasSideEffect,C0009763
DB00198,hasSideEffect,C0497156
DB00198,hasSideEffect,C0004096
DB00198,hasSideEffect,C0029882
DB00198,hasSideEffect,C0013447
DB00200,hasSideEffect,C0018681
DB00200,hasSideEffect,C0027497
DB00201,hasSideEffect,C0011603
DB00201,hasSideEffect,C0015230
DB00201,hasSideEffect,C0017181
DB00201,hasSideEffect,C0019080
DB00201,hasSideEffect,C0243026
DB00201,hasSideEffect,C0518015
DB00201,hasSideEffect,C0013404
DB00201,hasSideEffect,C0037274
DB00201,hasSideEffect,C0151736
DB00201,hasSideEffect,C3263723
DB00201,hasSideEffect,C0151908
DB00201,hasSideEffect,C0017152
DB00201,hasSideEffect,C0035078
DB00201,hasSideEffect,C0001122
DB00201,hasSideEffect,C0034063
DB00201,hasSideEffect,C0151692
DB00201,hasSideEffect,C0520459
DB00201,hasSideEffect,C0948692
DB00201,hasSideEffect,C1442826
DB00201,hasSideEffect,C2937358
DB00213,hasSideEffect,C0011603
DB00213,hasSideEffect,C0015230
DB00213,hasSideEffect,C0020517
DB00213,hasSideEffect,C0000737
DB00213,hasSideEffect,C0018681
DB00213,hasSideEffect,C0027497
DB00213,hasSideEffect,C0030193
DB00213,hasSideEffect,C0042963
DB00213,hasSideEffect,C0687713
DB00213,hasSideEffect,C0917801
DB00213,hasSideEffect,C0003862
DB00213,hasSideEffect,C0004093
DB00213,hasSideEffect,C0009806
DB00213,hasSideEffect,C0011991
DB00213,hasSideEffect,C0012833
DB00213,hasSideEffect,C0033774
DB00213,hasSideEffect,C0948594
DB00213,hasSideEffect,C0015672
DB00213,hasSideEffect,C0016204
DB00213,hasSideEffect,C0014724
DB00213,hasSideEffect,C0020456
DB00213,hasSideEffect,C2129214
DB00213,hasSideEffect,C0344232
DB00213,hasSideEffect,C0013378
DB00213,hasSideEffect,C0038362
DB00213,hasSideEffect,C0151766
DB00213,hasSideEffect,C0232492
DB00213,hasSideEffect,C0017672
DB00213,hasSideEffect,C0235996
DB00213,hasSideEffect,C0240327
DB00222,hasSideEffect,C0018681
DB00222,hasSideEffect,C0027497
DB00222,hasSideEffect,C0004093
DB00222,hasSideEffect,C0012833
DB00222,hasSideEffect,C0021400
DB00222,hasSideEffect,C0151736
DB00222,hasSideEffect,C3263723
DB00227,hasSideEffect,C0011603
DB00227,hasSideEffect,C0015230
DB00227,hasSideEffect,C0000737
DB00227,hasSideEffect,C0013395
DB00227,hasSideEffect,C0018681
DB00227,hasSideEffect,C0027497
DB00227,hasSideEffect,C0687713
DB00227,hasSideEffect,C0004093
DB00227,hasSideEffect,C0009806
DB00227,hasSideEffect,C0011991
DB00227,hasSideEffect,C0012833
DB00227,hasSideEffect,C0037763
DB00227,hasSideEffect,C0231528
DB00227,hasSideEffect,C0948594
DB00227,hasSideEffect,C0016204
DB00227,hasSideEffect,C0026821
DB00227,hasSideEffect,C0344232
DB00235,hasSideEffect,C0042510
DB00235,hasSideEffect,C0085612
DB00242,hasSideEffect,C0002871
DB00242,hasSideEffect,C0011603
DB00242,hasSideEffect,C0014591
DB00242,hasSideEffect,C0015230
DB00242,hasSideEffect,C0015967
DB00242,hasSideEffect,C0019080
DB00242,hasSideEffect,C0032285
DB00242,hasSideEffect,C0518015
DB00242,hasSideEffect,C0000737
DB00242,hasSideEffect,C0003467
DB00242,hasSideEffect,C0013491
DB00242,hasSideEffect,C0018681
DB00242,hasSideEffect,C0020649
DB00242,hasSideEffect,C0027497
DB00242,hasSideEffect,C0030193
DB00242,hasSideEffect,C0040034
DB00242,hasSideEffect,C0042963
DB00242,hasSideEffect,C0687713
DB00242,hasSideEffect,C0917801
DB00242,hasSideEffect,C0003862
DB00242,hasSideEffect,C0004093
DB00242,hasSideEffect,C0009806
DB00242,hasSideEffect,C0009938
DB00242,hasSideEffect,C0011991
DB00242,hasSideEffect,C0012833
DB00242,hasSideEffect,C0013404
DB00242,hasSideEffect,C0013604
DB00242,hasSideEffect,C0018808
DB00242,hasSideEffect,C0020458
DB00242,hasSideEffect,C0030554
DB00242,hasSideEffect,C0031542
DB00242,hasSideEffect,C0033774
DB00242,hasSideEffect,C0040053
DB00242,hasSideEffect,C0041834
DB00242,hasSideEffect,C0042029
DB00242,hasSideEffect,C0085649
DB00242,hasSideEffect,C0151735
DB00242,hasSideEffect,C0151825
DB00242,hasSideEffect,C0231528
DB00242,hasSideEffect,C0232462
DB00242,hasSideEffect,C0700590
DB00242,hasSideEffect,C0948594
DB00242,hasSideEffect,C2830004
DB00242,hasSideEffect,C0009450
DB00242,hasSideEffect,C0010200
DB00242,hasSideEffect,C0015672
DB00242,hasSideEffect,C0016204
DB00242,hasSideEffect,C0023380
DB00242,hasSideEffect,C0031350
DB00242,hasSideEffect,C0039231
DB00242,hasSideEffect,C0041912
DB00242,hasSideEffect,C0085593
DB00242,hasSideEffect,C0231218
DB00242,hasSideEffect,C0234215
DB00242,hasSideEffect,C1443060
DB00242,hasSideEffect,C2047937
DB00242,hasSideEffect,C0009763
DB00242,hasSideEffect,C0006826
DB00242,hasSideEffect,C0333355
DB00242,hasSideEffect,C0003864
DB00242,hasSideEffect,C0004623
DB00242,hasSideEffect,C0006840
DB00242,hasSideEffect,C0004134
DB00242,hasSideEffect,C0009676
DB00242,hasSideEffect,C0042109
DB00242,hasSideEffect,C0151786
DB00242,hasSideEffect,C0035078
DB00242,hasSideEffect,C1565489
DB00242,hasSideEffect,C0021368
DB00242,hasSideEffect,C0027947
DB00242,hasSideEffect,C0007642
DB00242,hasSideEffect,C0034150
DB00242,hasSideEffect,C0037278
DB00242,hasSideEffect,C0151744
DB00242,hasSideEffect,C1368065
DB00242,hasSideEffect,C0006849
DB00242,hasSideEffect,C0004610
DB00242,hasSideEffect,C0006625
DB00242,hasSideEffect,C0024312
DB00242,hasSideEffect,C3463824
DB00242,hasSideEffect,C0030312
DB00242,hasSideEffect,C0031256
DB00242,hasSideEffect,C0152025
DB00242,hasSideEffect,C0159056
DB00242,hasSideEffect,C0231856
DB00242,hasSideEffect,C0235032
DB00242,hasSideEffect,C0241136
DB00242,hasSideEffect,C0746883
DB00242,hasSideEffect,C0854467
DB00244,hasSideEffect,C0011603
DB00244,hasSideEffect,C0014591
DB00244,hasSideEffect,C0015230
DB00244,hasSideEffect,C0015967
DB00244,hasSideEffect,C0017181
DB00244,hasSideEffect,C0018965
DB00244,hasSideEffect,C0267596
DB00244,hasSideEffect,C0000737
DB00244,hasSideEffect,C0003467
DB00244,hasSideEffect,C0004604
DB00244,hasSideEffect,C0008031
DB00244,hasSideEffect,C0013395
DB00244,hasSideEffect,C0018681
DB00244,hasSideEffect,C0020538
DB00244,hasSideEffect,C0027497
DB00244,hasSideEffect,C0027769
DB00244,hasSideEffect,C0030193
DB00244,hasSideEffect,C0042963
DB00244,hasSideEffect,C0233494
DB00244,hasSideEffect,C0687713
DB00244,hasSideEffect,C0917801
DB00244,hasSideEffect,C0002170
DB00244,hasSideEffect,C0003862
DB00244,hasSideEffect,C0004093
DB00244,hasSideEffect,C0009806
DB00244,hasSideEffect,C0011991
DB00244,hasSideEffect,C0012833
DB00244,hasSideEffect,C0020458
DB00244,hasSideEffect,C0021400
DB00244,hasSideEffect,C0022408
DB00244,hasSideEffect,C0027441
DB00244,hasSideEffect,C0027765
DB00244,hasSideEffect,C0029408
DB00244,hasSideEffect,C0030554
DB00244,hasSideEffect,C0033774
DB00244,hasSideEffect,C0035455
DB00244,hasSideEffect,C0037763
DB00244,hasSideEffect,C0038990
DB00244,hasSideEffect,C0042267
DB00244,hasSideEffect,C0085649
DB00244,hasSideEffect,C0231528
DB00244,hasSideEffect,C0404521
DB00244,hasSideEffect,C0702166
DB00244,hasSideEffect,C0948594
DB00244,hasSideEffect,C2830004
DB00244,hasSideEffect,C0006277
DB00244,hasSideEffect,C0009450
DB00244,hasSideEffect,C0010200
DB00244,hasSideEffect,C0010692
DB00244,hasSideEffect,C0013390
DB00244,hasSideEffect,C0013428
DB00244,hasSideEffect,C0015672
DB00244,hasSideEffect,C0016204
DB00244,hasSideEffect,C0026826
DB00244,hasSideEffect,C0031350
DB00244,hasSideEffect,C0037199
DB00244,hasSideEffect,C0043352
DB00244,hasSideEffect,C0085593
DB00244,hasSideEffect,C0231218
DB00244,hasSideEffect,C0232849
DB00244,hasSideEffect,C0234215
DB00244,hasSideEffect,C0403632
DB00244,hasSideEffect,C0574067
DB00244,hasSideEffect,C1443060
DB00244,hasSideEffect,C2047937
DB00244,hasSideEffect,C0009763
DB00244,hasSideEffect,C0017160
