head,relation,tail
DB00184,hasSideEffect,C0011603
DB00184,hasSideEffect,C0015230
DB00184,hasSideEffect,C0000737
DB00184,hasSideEffect,C0004604
DB00184,hasSideEffect,C0013395
DB00184,hasSideEffect,C0018681
DB00184,hasSideEffect,C0027497
DB00184,hasSideEffect,C0030193
DB00184,hasSideEffect,C0687713
DB00184,hasSideEffect,C0917801
DB00184,hasSideEffect,C0003862
DB00184,hasSideEffect,C0011991
DB00184,hasSideEffect,C0012833
DB00184,hasSideEffect,C0013404
DB00184,hasSideEffect,C0013604
DB00184,hasSideEffect,C0030554
DB00184,hasSideEffect,C0033774
DB00184,hasSideEffect,C0042571
DB00184,hasSideEffect,C0231528
DB00184,hasSideEffect,C0702166
DB00184,hasSideEffect,C0948594
DB00184,hasSideEffect,C0013390
DB00184,hasSideEffect,C0016204
DB00184,hasSideEffect,C0151505
DB00184,hasSideEffect,C1443060
DB00184,hasSideEffect,C0025345
DB00184,hasSideEffect,C0149745
DB00184,hasSideEffect,C0392171
DB00184,hasSideEffect,C0521839
DB00184,hasSideEffect,C0018834
DB00184,hasSideEffect,C0009676
DB00184,hasSideEffect,C0013378
DB00184,hasSideEffect,C0030252
DB00184,hasSideEffect,C0038362
DB00184,hasSideEffect,C0040435
DB00184,hasSideEffect,C2242996
DB00184,hasSideEffect,C0040409
DB00201,hasSideEffect,C0011603
DB00201,hasSideEffect,C0015230
DB00201,hasSideEffect,C0017181
DB00201,hasSideEffect,C0019080
DB00201,hasSideEffect,C0243026
DB00201,hasSideEffect,C0518015
DB00201,hasSideEffect,C0013404
DB00201,hasSideEffect,C0037274
DB00201,hasSideEffect,C0151736
DB00201,hasSideEffect,C3263723
DB00201,hasSideEffect,C0151908
DB00201,hasSideEffect,C0017152
DB00201,hasSideEffect,C0035078
DB00201,hasSideEffect,C0001122
DB00201,hasSideEffect,C0034063
DB00201,hasSideEffect,C2937358
DB00204,hasSideEffect,C0011603
DB00204,hasSideEffect,C0015230
DB00204,hasSideEffect,C0000737
DB00204,hasSideEffect,C0004604
DB00204,hasSideEffect,C0008031
DB00204,hasSideEffect,C0018681
DB00204,hasSideEffect,C0027497
DB00204,hasSideEffect,C0042514
DB00204,hasSideEffect,C0687713
DB00204,hasSideEffect,C0917801
DB00204,hasSideEffect,C0011991
DB00204,hasSideEffect,C0012833
DB00204,hasSideEffect,C0013404
DB00204,hasSideEffect,C0021400
DB00204,hasSideEffect,C0035243
DB00204,hasSideEffect,C0151736
DB00204,hasSideEffect,C3263723
DB00204,hasSideEffect,C0004245
DB00204,hasSideEffect,C0006384
DB00204,hasSideEffect,C0085612
DB00222,hasSideEffect,C0018681
DB00222,hasSideEffect,C0027497
DB00222,hasSideEffect,C0004093
DB00222,hasSideEffect,C0012833
DB00222,hasSideEffect,C0021400
DB00222,hasSideEffect,C0151736
DB00222,hasSideEffect,C3263723
DB00252,hasSideEffect,C0002871
DB00252,hasSideEffect,C0011603
DB00252,hasSideEffect,C0014591
DB00252,hasSideEffect,C0015230
DB00252,hasSideEffect,C0015967
DB00252,hasSideEffect,C0017181
DB00252,hasSideEffect,C0032285
DB00252,hasSideEffect,C0036974
DB00252,hasSideEffect,C0151698
DB00252,hasSideEffect,C0243026
DB00252,hasSideEffect,C0004604
DB00252,hasSideEffect,C0013395
DB00252,hasSideEffect,C0013491
DB00252,hasSideEffect,C0018681
DB00252,hasSideEffect,C0019079
DB00252,hasSideEffect,C0020538
DB00252,hasSideEffect,C0020649
DB00252,hasSideEffect,C0027497
DB00252,hasSideEffect,C0027769
DB00252,hasSideEffect,C0030794
DB00252,hasSideEffect,C0040034
DB00252,hasSideEffect,C0042963
DB00252,hasSideEffect,C0080274
DB00252,hasSideEffect,C0151828
DB00252,hasSideEffect,C0233494
DB00252,hasSideEffect,C0428977
DB00252,hasSideEffect,C0917801
DB00252,hasSideEffect,C0003123
DB00252,hasSideEffect,C0003862
