head,relation,tail
DB00367,hasSideEffect,C0019080
DB00367,hasSideEffect,C0518015
DB00367,hasSideEffect,C2979982
DB00367,hasSideEffect,C0000737
DB00367,hasSideEffect,C0018681
DB00367,hasSideEffect,C0027497
DB00367,hasSideEffect,C0030193
DB00367,hasSideEffect,C0030794
DB00367,hasSideEffect,C0042963
DB00367,hasSideEffect,C0687713
DB00367,hasSideEffect,C0004093
DB00367,hasSideEffect,C0011991
DB00367,hasSideEffect,C0012833
DB00367,hasSideEffect,C0021400
DB00367,hasSideEffect,C0037763
DB00367,hasSideEffect,C0085633
DB00367,hasSideEffect,C0227791
DB00367,hasSideEffect,C0233472
DB00367,hasSideEffect,C0262397
DB00367,hasSideEffect,C0013390
DB00367,hasSideEffect,C0015672
DB00367,hasSideEffect,C0025323
DB00367,hasSideEffect,C0042998
DB00367,hasSideEffect,C0149931
DB00367,hasSideEffect,C0234215
DB00367,hasSideEffect,C0025874
DB00396,hasSideEffect,C2979982
DB00396,hasSideEffect,C0000737
DB00396,hasSideEffect,C0003467
DB00396,hasSideEffect,C0004604
DB00396,hasSideEffect,C0008031
DB00396,hasSideEffect,C0018681
DB00396,hasSideEffect,C0027497
DB00396,hasSideEffect,C0030193
DB00396,hasSideEffect,C0042963
DB00396,hasSideEffect,C0687713
DB00396,hasSideEffect,C0003862
DB00396,hasSideEffect,C0004093
DB00396,hasSideEffect,C0009806
DB00396,hasSideEffect,C0011570
DB00396,hasSideEffect,C0011991
DB00396,hasSideEffect,C0012833
DB00396,hasSideEffect,C0037763
DB00396,hasSideEffect,C0042029
DB00396,hasSideEffect,C0085633
DB00396,hasSideEffect,C0227791
DB00396,hasSideEffect,C0233472
DB00396,hasSideEffect,C0236075
DB00396,hasSideEffect,C0262397
DB00396,hasSideEffect,C0600142
DB00396,hasSideEffect,C0948594
DB00396,hasSideEffect,C0010200
DB00396,hasSideEffect,C0015672
DB00396,hasSideEffect,C0016204
DB00396,hasSideEffect,C0024902
DB00396,hasSideEffect,C0041912
DB00396,hasSideEffect,C0000731
DB00396,hasSideEffect,C0026821
DB00396,hasSideEffect,C0042769
DB00396,hasSideEffect,C1291077
DB00396,hasSideEffect,C0022107
DB00396,hasSideEffect,C0026858
DB00396,hasSideEffect,C0028081
DB00412,hasSideEffect,C0002871
DB00412,hasSideEffect,C0004604
DB00412,hasSideEffect,C0018681
DB00412,hasSideEffect,C0020538
DB00412,hasSideEffect,C0040034
DB00412,hasSideEffect,C0003862
DB00412,hasSideEffect,C0004093
DB00412,hasSideEffect,C0011991
DB00412,hasSideEffect,C0027441
DB00412,hasSideEffect,C0948594
DB00412,hasSideEffect,C0015672
DB00412,hasSideEffect,C0037199
DB00412,hasSideEffect,C0041912
DB00412,hasSideEffect,C0020615
DB00412,hasSideEffect,C0020456
DB00499,hasSideEffect,C0011603
DB00499,hasSideEffect,C0015230
DB00499,hasSideEffect,C0018965
DB00499,hasSideEffect,C0027497
DB00499,hasSideEffect,C0011991
DB00499,hasSideEffect,C0236075
DB00499,hasSideEffect,C0600142
DB00499,hasSideEffect,C0010692
DB00499,hasSideEffect,C0232849
DB00499,hasSideEffect,C0403632
DB00619,hasSideEffect,C0002871
DB00619,hasSideEffect,C0011603
DB00619,hasSideEffect,C0013595
DB00619,hasSideEffect,C0014591
DB00619,hasSideEffect,C0015230
DB00619,hasSideEffect,C0015967
DB00619,hasSideEffect,C0017181
DB00619,hasSideEffect,C0018965
DB00619,hasSideEffect,C0019080
DB00619,hasSideEffect,C0032285
DB00619,hasSideEffect,C0036974
DB00619,hasSideEffect,C0151904
DB00619,hasSideEffect,C0243026
DB00619,hasSideEffect,C0518015
DB00619,hasSideEffect,C0000737
DB00619,hasSideEffect,C0003467
DB00619,hasSideEffect,C0004604
DB00619,hasSideEffect,C0008031
DB00619,hasSideEffect,C0013395
DB00619,hasSideEffect,C0018681
DB00619,hasSideEffect,C0020538
DB00619,hasSideEffect,C0020649
DB00619,hasSideEffect,C0025222
DB00619,hasSideEffect,C0027497
DB00619,hasSideEffect,C0030193
DB00619,hasSideEffect,C0040034
DB00619,hasSideEffect,C0042963
DB00619,hasSideEffect,C0687713
DB00619,hasSideEffect,C0917801
DB00619,hasSideEffect,C0002170
DB00619,hasSideEffect,C0003123
DB00619,hasSideEffect,C0003862
DB00619,hasSideEffect,C0004093
DB00619,hasSideEffect,C0009806
DB00619,hasSideEffect,C0009938
DB00619,hasSideEffect,C0011175
DB00619,hasSideEffect,C0011570
DB00619,hasSideEffect,C0011991
DB00619,hasSideEffect,C0012833
DB00619,hasSideEffect,C0013404
DB00619,hasSideEffect,C0013604
DB00619,hasSideEffect,C0018418
DB00619,hasSideEffect,C0018802
DB00619,hasSideEffect,C0020458
DB00619,hasSideEffect,C0021400
DB00619,hasSideEffect,C0023530
DB00619,hasSideEffect,C0027441
DB00619,hasSideEffect,C0030554
DB00619,hasSideEffect,C0033774
DB00619,hasSideEffect,C0037274
DB00619,hasSideEffect,C0037763
DB00619,hasSideEffect,C0038990
DB00619,hasSideEffect,C0041834
DB00619,hasSideEffect,C0042029
DB00619,hasSideEffect,C0042571
DB00619,hasSideEffect,C0043094
DB00619,hasSideEffect,C0043096
DB00619,hasSideEffect,C0085649
DB00619,hasSideEffect,C0151825
DB00619,hasSideEffect,C0231528
DB00619,hasSideEffect,C0232461
DB00619,hasSideEffect,C0232462
DB00619,hasSideEffect,C0242350
DB00619,hasSideEffect,C0700590
DB00619,hasSideEffect,C0948594
DB00619,hasSideEffect,C2830004
DB00619,hasSideEffect,C0009450
DB00619,hasSideEffect,C0010200
DB00619,hasSideEffect,C0011124
DB00619,hasSideEffect,C0015672
DB00619,hasSideEffect,C0016204
DB00619,hasSideEffect,C0018801
DB00619,hasSideEffect,C0023380
DB00619,hasSideEffect,C0025323
DB00619,hasSideEffect,C0031350
DB00619,hasSideEffect,C0037199
DB00619,hasSideEffect,C0041912
DB00619,hasSideEffect,C0043352
DB00619,hasSideEffect,C0085593
DB00619,hasSideEffect,C0149931
DB00619,hasSideEffect,C0231218
DB00619,hasSideEffect,C0234215
DB00619,hasSideEffect,C0855242
DB00619,hasSideEffect,C1443060
DB00619,hasSideEffect,C2047937
DB00619,hasSideEffect,C2225524
DB00619,hasSideEffect,C0009763
DB00619,hasSideEffect,C0017160
DB00619,hasSideEffect,C0020625
DB00619,hasSideEffect,C2363731
DB00619,hasSideEffect,C0030196
DB00619,hasSideEffect,C0151905
DB00619,hasSideEffect,C0000731
DB00619,hasSideEffect,C0026821
DB00619,hasSideEffect,C0521839
DB00619,hasSideEffect,C0016382
DB00619,hasSideEffect,C0020456
DB00619,hasSideEffect,C0240515
DB00619,hasSideEffect,C0020580
DB00619,hasSideEffect,C0030305
DB00619,hasSideEffect,C0151908
DB00619,hasSideEffect,C0026858
DB00619,hasSideEffect,C0040264
DB00619,hasSideEffect,C0151576
DB00619,hasSideEffect,C0344232
DB00619,hasSideEffect,C0853034
DB00619,hasSideEffect,C0013378
DB00619,hasSideEffect,C0017152
DB00619,hasSideEffect,C0030252
DB00619,hasSideEffect,C0038362
DB00619,hasSideEffect,C0039070
DB00619,hasSideEffect,C0041657
DB00619,hasSideEffect,C0042109
DB00619,hasSideEffect,C0151827
DB00619,hasSideEffect,C0162830
DB00619,hasSideEffect,C0035078
