head,relation,tail
DB00104,hasSideEffect,C0011603
DB00104,hasSideEffect,C0015230
DB00104,hasSideEffect,C0017181
DB00104,hasSideEffect,C0018944
DB00104,hasSideEffect,C0000737
DB00104,hasSideEffect,C0003467
DB00104,hasSideEffect,C0004604
DB00104,hasSideEffect,C0013395
DB00104,hasSideEffect,C0018681
DB00104,hasSideEffect,C0027497
DB00104,hasSideEffect,C0030193
DB00104,hasSideEffect,C0042963
DB00104,hasSideEffect,C0151828
DB00104,hasSideEffect,C0428977
DB00104,hasSideEffect,C0687713
DB00104,hasSideEffect,C0917801
DB00104,hasSideEffect,C0002170
DB00104,hasSideEffect,C0003123
DB00104,hasSideEffect,C0003862
DB00104,hasSideEffect,C0004093
DB00104,hasSideEffect,C0009806
DB00104,hasSideEffect,C0009938
DB00104,hasSideEffect,C0011175
DB00104,hasSideEffect,C0011991
DB00104,hasSideEffect,C0012833
DB00104,hasSideEffect,C0013404
DB00104,hasSideEffect,C0013604
DB00104,hasSideEffect,C0021400
DB00104,hasSideEffect,C0027441
DB00104,hasSideEffect,C0029408
DB00104,hasSideEffect,C0033774
DB00104,hasSideEffect,C0037763
DB00104,hasSideEffect,C0042029
DB00104,hasSideEffect,C0232462
DB00104,hasSideEffect,C0702166
DB00104,hasSideEffect,C0948594
DB00104,hasSideEffect,C0015672
DB00104,hasSideEffect,C0016204
DB00104,hasSideEffect,C0023218
DB00104,hasSideEffect,C0037199
DB00104,hasSideEffect,C0039231
DB00104,hasSideEffect,C0042023
DB00104,hasSideEffect,C0043352
DB00104,hasSideEffect,C0242429
DB00104,hasSideEffect,C2363730
DB00104,hasSideEffect,C2363731
DB00104,hasSideEffect,C0020615
DB00104,hasSideEffect,C0020433
DB00104,hasSideEffect,C0000731
DB00104,hasSideEffect,C0232487
DB00104,hasSideEffect,C0003864
DB00104,hasSideEffect,C0008325
DB00104,hasSideEffect,C0008350
DB00104,hasSideEffect,C0014724
DB00104,hasSideEffect,C0016382
DB00104,hasSideEffect,C0019112
DB00104,hasSideEffect,C0020456
DB00104,hasSideEffect,C0020676
DB00104,hasSideEffect,C0034882
DB00104,hasSideEffect,C0162287
DB00104,hasSideEffect,C0231530
DB00104,hasSideEffect,C0271650
DB00104,hasSideEffect,C0438717
DB00104,hasSideEffect,C0520962
DB00104,hasSideEffect,C0547030
DB00104,hasSideEffect,C0687707
DB00104,hasSideEffect,C0863093
