DrugID,CUI,name,AvgFrequency
DB00001,C0002871,Anemia,0.0887
DB00001,C0011603,Dermatitis,0.01
DB00001,C0013595,Eczema,0.01
DB00001,C0014591,Epistaxis,0.021
DB00001,C0015230,Exanthema,0.01
DB00001,C0015967,Fever,0.0275
DB00001,C0017181,Gastrointestinal_hemorrhage,0.01
DB00001,C0018944,Hematoma,0.087
DB00001,C0018965,Hematuria,0.0276
DB00001,C0019080,Hemorrhage,0.0847
DB00001,C0019123,Hemothorax,0.0137
DB00001,C0020517,Hypersensitivity,0.01
DB00001,C0026766,Multiple_organ_failure,0.04
DB00001,C0032285,Pneumonia,0.05
DB00001,C0036974,Shock,0.01
DB00001,C0043250,Injury_wounds,0.097
DB00001,C0151698,Injection_site_hemorrhage,0.02
DB00001,C0151699,Intracranial_hemorrhage,0.0073
DB00001,C0151872,Prothrombin_time_increased,0.015
DB00001,C0151904,Aspartate_aminotransferase_increased,0.03
DB00001,C0162119,Hemoglobin_low,0.0887
DB00001,C0243026,Sepsis,0.03
DB00001,C0267596,Rectal_hemorrhage,0.0567
DB00001,C0518015,Hemoglobin_measurement,0.0847
DB00001,C2979982,Vaginal_hemorrhage,0.011
DB00006,C0000737,Abdominal_pain,0.0285
DB00006,C0002962,Angina_pectoris,0.0222
DB00006,C0003467,Anxiety,0.0619
DB00006,C0004238,Atrial_fibrillation,0.0105
DB00006,C0004604,Back_pain,0.19
DB00006,C0008031,Chest_pain,0.0235
DB00006,C0013395,Dyspepsia,0.0489
DB00006,C0013491,Ecchymosis,0.031
DB00006,C0014591,Epistaxis,0.008
DB00006,C0015967,Fever,0.0248
DB00006,C0017565,Gingival_hemorrhage,0.005
DB00006,C0018681,Headache,0.0515
DB00006,C0018944,Hematoma,0.0319
DB00006,C0019079,Hemoptysis,0.0018
DB00006,C0019080,Hemorrhage,0.0733
DB00006,C0020538,Hypertensive_disease,0.0345
DB00006,C0020649,Hypotension,0.0524
DB00006,C0025222,Melena,0.0031
DB00006,C0027497,Nausea,0.0521
DB00006,C0027769,Nervousness,0.0438
DB00006,C0030193,Pain,0.1054
DB00006,C0030794,Pelvic_pain,0.0694
DB00006,C0040034,Thrombocytopenia,0.006
DB00006,C0042514,"Tachycardia,_ventricular",0.0063
DB00006,C0042963,Vomiting,0.0259
DB00006,C0080274,Urinary_retention,0.0434
DB00006,C0151699,Intracranial_hemorrhage,0.0018
DB00006,C0151705,Retroperitoneal_hemorrhage,0.0024
DB00006,C0151828,Injection_site_pain,0.0398
DB00006,C0233494,Tension,0.0438
DB00006,C0428977,Bradycardia,0.0357
DB00006,C0518015,Hemoglobin_measurement,0.0785
DB00006,C0687713,Gastrointestinal_pain,0.0285
DB00006,C0917801,Sleeplessness,0.0398
DB00006,C3160769,Major_bleed,0.032
DB00007,C0000833,Abscess,0.045
DB00007,C0002170,Alopecia,0.183
DB00007,C0002871,Anemia,0.05
DB00007,C0003123,Anorexia,0.055
DB00007,C0003467,Anxiety,0.015
DB00007,C0003862,Arthralgia,0.1148
DB00007,C0004093,Asthenia,0.1209
DB00007,C0004604,Back_pain,0.195
DB00007,C0004936,Mental_disorders,0.01
DB00007,C0005940,Bone_diseases,0.1
DB00007,C0006145,Breast_diseases,0.1
DB00007,C0007859,Neck_pain,0.119
DB00007,C0009443,Common_cold,0.2746
DB00007,C0009806,Constipation,0.08
DB00007,C0009938,Contusions,0.0217
DB00007,C0011175,Dehydration,0.0408
DB00007,C0011570,Mental_depression,0.0872
DB00007,C0011603,Dermatitis,0.1831
DB00007,C0011991,Diarrhea,0.1405
DB00007,C0012833,Dizziness,0.0796
DB00007,C0013404,Dyspnea,0.042
DB00007,C0013604,Edema,0.15
DB00007,C0014742,Erythema_multiforme,0.03
DB00007,C0015230,Exanthema,0.015
DB00007,C0015967,Fever,0.0845
DB00007,C0017178,Gastrointestinal_diseases,0.01
DB00007,C0018418,Gynecomastia,0.35
DB00007,C0018681,Headache,0.1507
DB00007,C0018802,Congestive_heart_failure,0.03
DB00007,C0018808,Heart_murmur,0.055
DB00007,C0018965,Hematuria,0.05
DB00007,C0020458,Hyperhidrosis_disorder,0.4103
DB00007,C0020538,Hypertensive_disease,0.0433
DB00007,C0021053,Immune_system_diseases,0.001
DB00007,C0021400,Influenza,0.0612
DB00007,C0022116,Ischemia,0.205
DB00007,C0022408,Arthropathy,0.0777
DB00007,C0023530,Leukopenia,0.0965
DB00007,C0027441,Nasopharyngitis,0.2746
DB00007,C0027497,Nausea,0.1504
DB00007,C0027765,Nervous_system_disorder,0.01
DB00007,C0027769,Nervousness,0.2615
DB00007,C0027868,Neuromuscular_diseases,0.0662
DB00007,C0029408,Degenerative_polyarthritis,0.0777
DB00007,C0030193,Pain,0.172
DB00007,C0030554,Paresthesia,0.015
DB00007,C0031542,Phlebitis,0.06
DB00007,C0033774,Pruritus,0.009
DB00007,C0035455,Rhinitis,0.2746
DB00007,C0036508,Seborrheic_dermatitis,0.03
DB00007,C0037274,Dermatologic_disorders,0.001
DB00007,C0037763,Spasm,0.015
DB00007,C0038990,Sweating,0.4118
DB00007,C0040046,Thrombophlebitis,0.04
DB00007,C0040053,Thrombosis,0.06
DB00007,C0041582,Ulcer,0.001
DB00007,C0041834,Erythema,0.0458
DB00007,C0041969,Urethral_diseases,0.1
DB00007,C0042029,Urinary_tract_infection,0.05
DB00007,C0042075,Urologic_diseases,0.1
DB00007,C0042267,Vaginitis,0.08
DB00007,C0042373,Vascular_diseases,0.1
DB00007,C0042401,Vasodilation,0.02
DB00007,C0042571,Vertigo,0.0695
DB00007,C0042963,Vomiting,0.1213
DB00007,C0043094,Weight_gain,0.493
DB00007,C0043096,Weight_decreased,0.298
DB00007,C0085633,Mood_swings,0.1222
DB00007,C0085649,Peripheral_edema,0.21
DB00007,C0151605,Injection_site_edema,0.02
DB00007,C0151735,Injection_site_reaction,0.1983
DB00007,C0151825,Bone_pain,0.035
DB00007,C0151828,Injection_site_pain,0.2
DB00007,C0152029,Congestion_of_nasal_sinus,0.055
DB00007,C0162429,Malnutrition,0.01
DB00007,C0178298,Skin_and_subcutaneous_tissue_disorders,0.001
DB00007,C0220870,Lightheadedness,0.06
DB00007,C0227791,Vaginal_discharge,0.03
DB00007,C0231528,Myalgia,0.04
DB00007,C0232461,Increased_appetite_(finding),0.2395
DB00007,C0232462,Decrease_in_appetite,0.2357
DB00007,C0233472,Labile_affect,0.1222
DB00007,C0233494,Tension,0.2615
DB00007,C0236075,Menopausal_symptom,0.4304
DB00007,C0239885,Headache_dull,0.338
DB00007,C0242350,Erectile_dysfunction,0.08
DB00007,C0262397,Breast_tenderness,0.35
DB00007,C0332534,Induration,0.004
DB00007,C0404521,Infective_vaginitis,0.08
DB00007,C0521509,Induration_at_injection_site,0.2113
DB00007,C0549386,Sensation_of_warmth,0.7113
DB00007,C0600142,Hot_flushes,0.4304
DB00007,C0677500,Stinging_sensation,0.2307
DB00007,C0700590,Increased_sweating,0.4067
DB00007,C0702166,Acne,0.03
DB00007,C0851578,Sleep_disorders,0.04
DB00007,C0917801,Sleeplessness,0.1052
DB00007,C0948594,Musculoskeletal_discomfort,0.1148
DB00007,C1142412,Vasodilation_procedure,0.02
DB00007,C1971624,Loss_of_appetite_(finding),0.115
DB00007,C2830004,Somnolence,0.0851
DB00007,C2939147,Feels_hot,0.7113
DB00007,C2979982,Vaginal_hemorrhage,0.03
DB00014,C0000737,Abdominal_pain,0.0585
DB00014,C0002170,Alopecia,0.01
DB00014,C0002453,Amenorrhea,1.0
DB00014,C0002871,Anemia,0.0097
DB00014,C0002962,Angina_pectoris,0.0096
DB00014,C0003123,Anorexia,0.035
DB00014,C0003467,Anxiety,0.01
DB00014,C0003811,Cardiac_arrhythmia,0.01
DB00014,C0003862,Arthralgia,0.01
DB00014,C0004093,Asthenia,0.0752
DB00014,C0004604,Back_pain,0.069
DB00014,C0005695,Bladder_neoplasm,0.0096
DB00014,C0006277,Bronchitis,0.01
DB00014,C0009450,Communicable_diseases,0.0632
DB00014,C0009806,Constipation,0.065
DB00014,C0010200,Coughing,0.0114
DB00014,C0010692,Cystitis,0.16
DB00014,C0011124,Decreased_libido,0.525
DB00014,C0011570,Mental_depression,0.28
DB00014,C0011603,Dermatitis,0.05
